Generation,Best,Average,Variance
126,0.00557555,0.00229009,2.27521e-06
127,0.00557555,0.00160481,2.4154e-06
128,0.00557555,0.00221488,2.23174e-06
129,0.00557555,0.00230054,2.56755e-06
130,0.00557555,0.00239638,2.39878e-06
131,0.00557555,0.00205278,2.73699e-06
132,0.00557555,0.00184833,2.3661e-06
133,0.00557555,0.0020081,3.04643e-06
134,0.00557555,0.00246458,2.49885e-06
135,0.00557555,0.00237767,2.4436e-06
136,0.00557555,0.00180502,2.53401e-06
137,0.00557555,0.00184672,2.73684e-06
138,0.00557555,0.00172481,2.48765e-06
139,0.00557555,0.00216215,2.67212e-06
140,0.00557555,0.00184527,2.51902e-06
141,0.00557555,0.00179439,2.2783e-06
142,0.00557555,0.00231573,3.41789e-06
143,0.00557555,0.00196474,2.40267e-06
144,0.00557555,0.00196527,2.82318e-06
145,0.00557555,0.00185472,2.70252e-06
146,0.00557555,0.00215193,3.00653e-06
147,0.00557555,0.00241619,2.09753e-06
148,0.00557555,0.00213559,2.83636e-06
149,0.00557555,0.00193667,2.57814e-06
150,0.00557555,0.00200134,2.55002e-06
151,0.00557555,0.00178549,2.57266e-06
152,0.00557555,0.00215743,3.53081e-06
153,0.00557555,0.00196161,2.19114e-06
154,0.00557555,0.00212842,2.45702e-06
155,0.00557555,0.00228764,2.86388e-06
156,0.00557555,0.00218347,3.18125e-06
157,0.00557555,0.00199626,2.67544e-06
